KT,YT,TAZE HAVA ORANI,concat,TAZE HAVA,DÖNÜ? HAVASI,DÖNÜ? HAVASI ENTHALPY,KT,YT,Tmix Enthalpy,ÜFLEME ENTHALPY 15 C,Enthalpy Fark?,13,14,15,16,17,18,19,20,21,22,23,24
40,20,5,4020555.69,500,9500,55.69,27,,55.75,44.78,2.62,,,,,,,,,,,,
40,20,10,40201055.69,1000,9000,55.69,27,50%,55.81,44.78,2.63,,,,,,,,,,,,
40,20,15,40201555.69,1500,8500,55.69,27,,55.87,44.78,2.65,,,,,,,,,,,,
40,20,20,40202055.69,2000,8000,55.69,27,50%,55.92,44.78,2.66,,,,,,,,,,,,
40,20,25,40202555.69,2500,7500,55.69,27,,55.98,44.78,2.67,,,,,,,,,,,,
40,20,30,40203055.69,3000,7000,55.69,27,50%,56.03,44.78,2.69,,,,,,,,,,,,
40,20,35,40203555.69,3500,6500,55.69,27,,56.09,44.78,2.70,,,,,,,,,,,,
40,20,40,40204055.69,4000,6000,55.69,27,50%,56.15,44.78,2.72,,,,,,,,,,,,
40,20,45,40204555.69,4500,5500,55.69,27,,56.21,44.78,2.73,,,,,,,,,,,,
40,20,50,40205055.69,5000,5000,55.69,27,50%,56.26,44.78,2.74,,,,,,,,,,,,
40,20,55,40205555.69,5500,4500,55.69,27,,56.32,44.78,2.76,,,,,,,,,,,,
40,20,60,40206055.69,6000,4000,55.69,27,50%,56.38,44.78,2.77,,,,,,,,,,,,
40,20,65,40206555.69,6500,3500,55.69,27,,56.44,44.78,2.78,,,,,,,,,,,,
40,20,70,40207055.69,7000,3000,55.69,27,50%,56.49,44.78,2.80,,,,,,,,,,,,
40,20,75,40207555.69,7500,2500,55.69,27,,56.55,44.78,2.81,,,,,,,,,,,,
40,20,80,40208055.69,8000,2000,55.69,27,50%,56.61,44.78,2.83,,,,,,,,,,,,
40,20,85,40208555.69,8500,1500,55.69,27,,56.67,44.78,2.84,,,,,,,,,,,,
40,20,90,40209055.69,9000,1000,55.69,27,50%,56.73,44.78,2.85,,,,,,,,,,,,
40,20,95,40209555.69,9500,500,55.69,27,,56.79,44.78,2.87,,,,,,,,,,,,
40,20,100,402010055.69,10000,0,55.69,27,50%,56.85,44.78,2.88,,,,,,,,,,,,
,,,55.69,,,55.69,27,,0.00,44.78,-10.70,,,,,,,,,,,,
39,26,0,3926055.69,0,10000,55.69,27,50%,55.69,44.78,2.61,,,,,,,,,,,,
39,26,5,3926555.69,500,9500,55.69,27,,56.87,44.78,2.89,,,,,,,,,,,,
39,26,10,39261055.69,1000,9000,55.69,27,50%,58.04,44.78,3.17,,,,,,,,,,,,
39,26,15,39261555.69,1500,8500,55.69,27,,59.23,44.78,3.45,,,,,,,,,,,,
39,26,20,39262055.69,2000,8000,55.69,27,50%,60.41,44.78,3.73,,,,,,,,,,,,
39,26,25,39262555.69,2500,7500,55.69,27,,61.61,44.78,4.02,,,,,,,,,,,,
39,26,30,39263055.69,3000,7000,55.69,27,50%,62.80,44.78,4.30,,,,,,,,,,,,
39,26,35,39263555.69,3500,6500,55.69,27,,64.01,44.78,4.59,,,,,,,,,,,,
39,26,40,39264055.69,4000,6000,55.69,27,50%,65.22,44.78,4.88,,,,,,,,,,,,
39,26,45,39264555.69,4500,5500,55.69,27,,66.44,44.78,5.17,,,,,,,,,,,,
39,26,50,39265055.69,5000,5000,55.69,27,50%,67.65,44.78,5.46,,,,,,,,,,,,
39,26,55,39265555.69,5500,4500,55.69,27,,68.88,44.78,5.76,,,,,,,,,,,,
39,26,60,39266055.69,6000,4000,55.69,27,50%,70.11,44.78,6.05,,,,,,,,,,,,
39,26,65,39266555.69,6500,3500,55.69,27,,71.36,44.78,6.35,,,,,,,,,,,,
39,26,70,39267055.69,7000,3000,55.69,27,50%,72.60,44.78,6.64,,,,,,,,,,,,
39,26,75,39267555.69,7500,2500,55.69,27,,73.85,44.78,6.94,,,,,,,,,,,,
39,26,80,39268055.69,8000,2000,55.69,27,50%,75.10,44.78,7.24,,,,,,,,,,,,
39,26,85,39268555.69,8500,1500,55.69,27,,76.37,44.78,7.54,,,,,,,,,,,,
39,26,90,39269055.69,9000,1000,55.69,27,50%,77.63,44.78,7.85,,,,,,,,,,,,
39,26,95,39269555.69,9500,500,55.69,27,,78.91,44.78,8.15,,,,,,,,,,,,
39,26,100,392610055.69,10000,0,55.69,27,50%,80.19,44.78,8.46,,,,,,,,,,,,
,,,55.69,,,55.69,27,,0.00,44.78,-10.70,,,,,,,,,,,,
39,25,0,3925055.69,0,10000,55.69,27,50%,55.19,44.78,2.49,,,,,,,,,,,,
39,25,5,3925555.69,500,9500,55.69,27,,56.41,44.78,2.78,,,,,,,,,,,,
39,25,10,39251055.69,1000,9000,55.69,27,50%,57.63,44.78,3.07,,,,,,,,,,,,
39,25,15,39251555.69,1500,8500,55.69,27,,58.61,44.78,3.30,,,,,,,,,,,,
39,25,20,39252055.69,2000,8000,55.69,27,50%,59.59,44.78,3.54,,,,,,,,,,,,
39,25,25,39252555.69,2500,7500,55.69,27,,60.58,44.78,3.77,,,,,,,,,,,,
39,25,30,39253055.69,3000,7000,55.69,27,50%,61.56,44.78,4.01,,,,,,,,,,,,
39,25,35,39253555.69,3500,6500,55.69,27,,62.56,44.78,4.25,,,,,,,,,,,,
39,25,40,39254055.69,4000,6000,55.69,27,50%,63.55,44.78,4.48,,,,,,,,,,,,
39,25,45,39254555.69,4500,5500,55.69,27,,64.56,44.78,4.72,,,,,,,,,,,,
39,25,50,39255055.69,5000,5000,55.69,27,50%,65.56,44.78,4.96,,,,,,,,,,,,
39,25,55,39255555.69,5500,4500,55.69,27,,66.58,44.78,5.21,,,,,,,,,,,,
39,25,60,39256055.69,6000,4000,55.69,27,50%,67.59,44.78,5.45,,,,,,,,,,,,
39,25,65,39256555.69,6500,3500,55.69,27,,68.61,44.78,5.69,,,,,,,,,,,,
39,25,70,39257055.69,7000,3000,55.69,27,50%,69.63,44.78,5.94,,,,,,,,,,,,
39,25,75,39257555.69,7500,2500,55.69,27,,70.66,44.78,6.18,,,,,,,,,,,,
39,25,80,39258055.69,8000,2000,55.69,27,50%,71.69,44.78,6.43,,,,,,,,,,,,
39,25,85,39258555.69,8500,1500,55.69,27,,72.73,44.78,6.68,,,,,,,,,,,,
39,25,90,39259055.69,9000,1000,55.69,27,50%,73.77,44.78,6.92,,,,,,,,,,,,
39,25,95,39259555.69,9500,500,55.69,27,,74.82,44.78,7.17,,,,,,,,,,,,
39,25,100,392510055.69,10000,0,55.69,27,50%,75.87,44.78,7.43,,,,,,,,,,,,
,,,55.69,,,55.69,27,,0.00,44.78,-10.70,,,,,,,,,,,,
39,24,0,3924055.69,0,10000,55.69,27,50%,55.69,44.78,2.61,,,,,,,,,,,,
39,24,5,3924555.69,500,9500,55.69,27,,55.69,44.78,2.61,,,,,,,,,,,,
39,24,10,39241055.69,1000,9000,55.69,27,50%,55.69,44.78,2.61,,,,,,,,,,,,
39,24,15,39241555.69,1500,8500,55.69,27,,57.25,44.78,2.98,,,,,,,,,,,,
39,24,20,39242055.69,2000,8000,55.69,27,50%,58.80,44.78,3.35,,,,,,,,,,,,
39,24,25,39242555.69,2500,7500,55.69,27,,59.59,44.78,3.54,,,,,,,,,,,,
39,24,30,39243055.69,3000,7000,55.69,27,50%,60.37,44.78,3.72,,,,,,,,,,,,
39,24,35,39243555.69,3500,6500,55.69,27,,60.71,44.78,3.80,,,,,,,,,,,,
39,24,40,39244055.69,4000,6000,55.69,27,50%,61.05,44.78,3.89,,,,,,,,,,,,
39,24,45,39244555.69,4500,5500,55.69,27,,62.30,44.78,4.18,,,,,,,,,,,,
39,24,50,39245055.69,5000,5000,55.69,27,50%,63.55,44.78,4.48,,,,,,,,,,,,
39,24,55,39245555.69,5500,4500,55.69,27,,64.35,44.78,4.67,,,,,,,,,,,,
39,24,60,39246055.69,6000,4000,55.69,27,50%,65.15,44.78,4.87,,,,,,,,,,,,
39,24,65,39246555.69,6500,3500,55.69,27,,65.97,44.78,5.06,,,,,,,,,,,,
39,24,70,39247055.69,7000,3000,55.69,27,50%,66.78,44.78,5.25,,,,,,,,,,,,
39,24,75,39247555.69,7500,2500,55.69,27,,67.60,44.78,5.45,,,,,,,,,,,,
39,24,80,39248055.69,8000,2000,55.69,27,50%,68.42,44.78,5.65,,,,,,,,,,,,
39,24,85,39248555.69,8500,1500,55.69,27,,69.22,44.78,5.84,,,,,,,,,,,,
39,24,90,39249055.69,9000,1000,55.69,27,50%,70.01,44.78,6.03,,,,,,,,,,,,
39,24,95,39249555.69,9500,500,55.69,27,,70.88,44.78,6.23,,,,,,,,,,,,
39,24,100,392410055.69,10000,0,55.69,27,50%,71.74,44.78,6.44,,,,,,,,,,,,
,,,55.69,,,55.69,27,,0.00,44.78,-10.70,,,,,,,,,,,,
39,23,0,3923055.69,0,10000,55.69,27,50%,55.69,44.78,2.61,,,,,,,,,,,,
39,23,5,3923555.69,500,9500,55.69,27,,56.28,44.78,2.75,,,,,,,,,,,,
39,23,10,39231055.69,1000,9000,55.69,27,50%,56.86,44.78,2.89,,,,,,,,,,,,
39,23,15,39231555.69,1500,8500,55.69,27,,57.45,44.78,3.03,,,,,,,,,,,,
39,23,20,39232055.69,2000,8000,55.69,27,50%,58.04,44.78,3.17,,,,,,,,,,,,
39,23,25,39232555.69,2500,7500,55.69,27,,58.63,44.78,3.31,,,,,,,,,,,,
39,23,30,39233055.69,3000,7000,55.69,27,50%,59.22,44.78,3.45,,,,,,,,,,,,
39,23,35,39233555.69,3500,6500,55.69,27,,59.82,44.78,3.59,,,,,,,,,,,,
39,23,40,39234055.69,4000,6000,55.69,27,50%,60.42,44.78,3.74,,,,,,,,,,,,
39,23,45,39234555.69,4500,5500,55.69,27,,61.02,44.78,3.88,,,,,,,,,,,,
39,23,50,39235055.69,5000,5000,55.69,27,50%,61.62,44.78,4.02,,,,,,,,,,,,
39,23,55,39235555.69,5500,4500,55.69,27,,62.23,44.78,4.17,,,,,,,,,,,,
39,23,60,39236055.69,6000,4000,55.69,27,50%,62.83,44.78,4.31,,,,,,,,,,,,
39,23,65,39236555.69,6500,3500,55.69,27,,63.45,44.78,4.46,,,,,,,,,,,,
39,23,70,39237055.69,7000,3000,55.69,27,50%,64.06,44.78,4.60,,,,,,,,,,,,
39,23,75,39237555.69,7500,2500,55.69,27,,64.68,44.78,4.75,,,,,,,,,,,,
39,23,80,39238055.69,8000,2000,55.69,27,50%,65.29,44.78,4.90,,,,,,,,,,,,
39,23,85,39238555.69,8500,1500,55.69,27,,65.91,44.78,5.05,,,,,,,,,,,,
39,23,90,39239055.69,9000,1000,55.69,27,50%,66.53,44.78,5.19,,,,,,,,,,,,
39,23,95,39239555.69,9500,500,55.69,27,,67.16,44.78,5.34,,,,,,,,,,,,
39,23,100,392310055.69,10000,0,55.69,27,50%,67.78,44.78,5.49,,,,,,,,,,,,
,,,,,,,27,,0.00,44.78,-10.70,,,,,,,,,,,,
39,22,0,3922055.69,0,10000,55.69,27,50%,55.69,44.78,2.61,,,,,,,,,,,,
39,22,5,3922555.69,500,9500,55.69,27,,56.10,44.78,2.70,,,,,,,,,,,,
39,22,10,39221055.69,1000,9000,55.69,27,50%,56.50,44.78,2.80,,,,,,,,,,,,
39,22,15,39221555.69,1500,8500,55.69,27,,56.91,44.78,2.90,,,,,,,,,,,,
39,22,20,39222055.69,2000,8000,55.69,27,50%,57.31,44.78,2.99,,,,,,,,,,,,
